,X,Y,Z
218,2.355,5.845,1.8612
219,8.575,5.625,0.72
220,8.465,5.125,1.49
221,8.575,5.625,0.52
222,0.395,5.845,0.0188
223,1.925,5.845,1.457
224,2.725,5.845,2.209
225,2.205,5.845,1.7202
226,0.0,3.0625,1.64
227,0.645,5.845,0.2538
228,8.225,5.125,1.31
229,0.0,3.0625,1.73
230,8.575,5.625,1.63
231,0.635,5.845,0.2444
232,8.575,5.625,1.14
233,9.375,3.0625,1.8
234,8.265,5.125,1.34
235,1.615,5.845,1.1656
236,9.375,3.0625,1.28
237,9.375,3.0625,1.08
238,8.575,5.625,1.32
239,8.575,5.625,1.65
240,8.575,5.625,0.58
241,8.575,5.625,1.45
242,0.0,3.0625,1.62
243,0.0,3.0625,1.55
244,0.925,5.845,0.517
245,8.575,5.625,0.76
246,8.575,5.625,0.53
247,2.685,5.845,2.1714
248,9.035,5.125,1.9175
249,9.375,3.0625,0.64
250,7.705,5.125,0.92
251,2.665,5.845,2.1526
252,8.575,5.625,1.13
253,1.145,5.845,0.7238
254,9.375,3.0625,0.95
255,9.375,3.0625,1.11
256,9.375,3.0625,0.84
257,0.0,3.0625,1.32
258,0.0,3.0625,1.05
259,9.375,3.0625,1.44
260,8.575,5.625,1.53
261,2.125,5.845,1.645
262,1.405,5.845,0.9682
263,0.0,3.0625,1.41
264,9.375,3.0625,1.21
265,1.755,5.845,1.2972
266,1.975,5.845,1.504
267,0.0,3.0625,1.24
268,0.765,5.845,0.3666
269,1.475,5.845,1.034
270,9.375,3.0625,1.71
271,0.0,3.0625,1.31
272,0.475,5.845,0.094
273,2.095,5.845,1.6168
274,2.545,5.845,2.0398
275,7.935,5.125,1.0925
276,9.005,5.125,1.895
277,8.575,5.625,0.88
278,7.775,5.125,0.9725
279,2.445,5.845,1.9458
280,9.375,3.0625,0.58
281,9.375,3.0625,0.54
282,1.015,5.845,0.6016
283,1.395,5.845,0.9588
284,8.575,5.625,0.73
285,1.105,5.845,0.6862
286,0.525,5.845,0.141
287,0.0,3.0625,1.7
288,9.375,3.0625,1.4
289,8.835,5.125,1.7675
290,7.535,5.125,0.7925
291,1.155,5.845,0.7332
292,9.375,3.0625,1.63
293,8.375,5.125,1.4225
294,9.375,3.0625,1.19
